epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,747.172,0.64304,2.22144,1.05085,0.40462,0.79688,0.42272,0.4033,0.25694,13.4241,0.78281,0.000416015,0.000416015,0.000416015
2,1573.05,0.49598,1.58369,0.9632,0.4058,0.70742,0.42476,0.40832,0.26368,7.27083,0.76479,0.000824438,0.000824438,0.000824438
3,2390.31,0.47166,1.4915,0.95309,0.38616,0.71706,0.38872,0.37703,0.2544,7.19613,0.77646,0.00122461,0.00122461,0.00122461
4,3109.82,0.443,1.45091,0.94581,0.43211,0.78871,0.44844,0.4427,0.20069,7.32237,0.74167,0.00121287,0.00121287,0.00121287
5,3830.63,0.40558,1.38569,0.93304,0.41027,0.82249,0.43687,0.4251,0.22366,8.6308,0.7472,0.0012005,0.0012005,0.0012005
6,4471.36,0.37972,1.34619,0.92959,0.39922,0.91449,0.45619,0.45177,0.17769,7.96132,0.73467,0.00118812,0.00118812,0.00118812
7,5320.68,0.36919,1.31029,0.92348,0.41418,0.84046,0.44845,0.44344,0.13431,8.31135,0.73048,0.00117575,0.00117575,0.00117575
8,5916.68,0.36166,1.28025,0.92395,0.4587,0.85582,0.47492,0.47261,0.17235,8.78432,0.72758,0.00116337,0.00116337,0.00116337
9,6516.38,0.34015,1.27359,0.91917,0.44272,0.89085,0.47979,0.4759,0.15958,8.0749,0.73549,0.001151,0.001151,0.001151
10,7136.82,0.33281,1.26099,0.9149,0.39939,0.75124,0.40565,0.36645,0.32114,9.39207,0.84685,0.00113863,0.00113863,0.00113863
11,7770.4,0.3201,1.23168,0.9112,0.45101,0.87946,0.47149,0.4673,0.15372,8.82124,0.73727,0.00112625,0.00112625,0.00112625
12,8460.3,0.31818,1.23971,0.91053,0.44803,0.86028,0.47499,0.46774,0.17737,9.71584,0.7383,0.00111388,0.00111388,0.00111388
13,9066.78,0.31585,1.20588,0.91296,0.46625,0.88222,0.48267,0.47739,0.16253,10.4774,0.73297,0.0011015,0.0011015,0.0011015
14,9657.63,0.30591,1.20396,0.90624,0.47391,0.90211,0.48996,0.48674,0.15645,9.41777,0.73071,0.00108913,0.00108913,0.00108913
15,10284.1,0.2995,1.19081,0.90622,0.46421,0.88639,0.48733,0.48476,0.12155,9.38318,0.72226,0.00107675,0.00107675,0.00107675
16,10879.2,0.29814,1.1882,0.90256,0.45914,0.88854,0.48796,0.48128,0.13872,10.1497,0.72974,0.00106437,0.00106437,0.00106437
17,11495.6,0.30211,1.1918,0.91068,0.44525,0.85066,0.47431,0.46563,0.14716,9.6315,0.73371,0.001052,0.001052,0.001052
18,12168.3,0.28963,1.17341,0.90674,0.46913,0.89947,0.48932,0.4868,0.14024,9.49095,0.72693,0.00103962,0.00103962,0.00103962
19,12856,0.27916,1.16317,0.8985,0.4763,0.91335,0.49,0.48601,0.13696,8.96207,0.72599,0.00102725,0.00102725,0.00102725
20,13523,0.28525,1.18081,0.90292,0.47458,0.91346,0.49047,0.48577,0.11441,10.0628,0.72301,0.00101488,0.00101488,0.00101488
21,14179.7,0.26842,1.14968,0.89922,0.46537,0.88917,0.48697,0.48254,0.12861,9.91633,0.73676,0.0010025,0.0010025,0.0010025
22,14806.7,0.26669,1.12885,0.89814,0.46365,0.89446,0.48832,0.48366,0.10226,9.87603,0.72373,0.000990125,0.000990125,0.000990125
23,15438.4,0.27399,1.1409,0.90024,0.48775,0.89443,0.495,0.49041,0.13933,8.62506,0.72723,0.00097775,0.00097775,0.00097775
24,16071.2,0.2591,1.1392,0.8948,0.43124,0.85047,0.45027,0.43078,0.24228,10.2403,0.79411,0.000965375,0.000965375,0.000965375
25,16720.2,0.26181,1.12966,0.90044,0.48488,0.93399,0.49707,0.49392,0.10795,9.57218,0.71722,0.000953,0.000953,0.000953
26,17372.9,0.2604,1.13027,0.89857,0.43802,0.89086,0.48464,0.48108,0.15371,7.94682,0.72706,0.000940625,0.000940625,0.000940625
27,18141.7,0.26439,1.12947,0.89836,0.46427,0.93294,0.48688,0.48372,0.16741,8.31435,0.73334,0.00092825,0.00092825,0.00092825
